type,title,content,url
lexique,A,"Courrier par lequel l'assureur vous réclame le paiement de votre prime d'assurance. Vous avez, au terme du code des Assurances, 10 jours pour régler votre prime à compter de la date d'échéance. Lorsque les conditions initiales de votre contrat sont revues: déménagement, changement de véhicule... votre assureur émet un avenant (un remplacement), afin de valider votre nouvelle situation et vos garanties. L'avenant, tout comme le contrat initial, doit être signé par l'assuré et l'assureur, car l'avenant représente une preuve de la modification du contrat. Il évite la rédaction complète d'un nouveau contrat. Ce document vaut comme justificatif d'assurance pendant sa période de validité. Sur le territoire national.",https://www.comar.tn/lexique/a
lexique,B,"Personne physique ou morale au profit de laquelle l'assurance a été contractée. Elle peut être nommément désignée aux conditions particulières du contrat ou bien apparaître dans les conditions générales sous les termes de: conjoint survivant, d'ayants droit, ou encore d’héritier né ou à naître...Le bénéficiaire recevra l'indemnité due par l'assureur en cas de réalisation du risque assuré. Ce sont les constructions et leurs dépendances (immeuble par nature) à l'exception du terrain. C'est le terme qui désigne le système par lequel les assurés se voient accorder des réductions ou des majorations en fonction de la survenance (ou non) de sinistre. C'est un élément central dans la tarification de votre véhicule dans la mesure où l'application de ce coefficient peut diminuer de moitié votre cotisation (0.50 de bonus). C'est ""une note"" qui vous est personnelle et qui reflète votre historique en tant que conducteur.",https://www.comar.tn/lexique/b
lexique,C,"Tous les événements qui revêtent par leur importance ou leur étendue un risque catastrophique. Ce sont certains événements naturels, tels que les cyclones, les inondations, les secousses sismiques. Ils sont imprévisibles. Pour que le contrat d'assurance fonctionne et que la garantie soit accordée dans le cadre de ces événements il faut que l'état de catastrophe naturelle soit constaté par un arrêté Interministériel publié au Journal Officiel. Disposition particulière d'une police d'assurance détaillant le fonctionnement d'une garantie, ou bien précisant la nature des engagements réciproques de l'assureur et de l'assuré. Ensemble des lois et des règlements qui doivent être respectés par les sociétés d'assurances et qui régissent les relations assureurs/assurés.",https://www.comar.tn/lexique/c
lexique,D,"Le propriétaire qui doit faire réaliser des travaux n'est pas toujours en mesure d'apprécier le parfait achèvement de ces mêmes travaux, (et si la construction est correctement exécutée). Il est donc nécessaire qu'un certain temps s'écoule pour que le nouvel édifice ait le temps de ""travailler"" et de se tasser sur ses fondations. Le législateur a donc estimé nécessaire d'imposer un délai de garantie de dix ans aux architectes et aux entrepreneurs. Cette garantie décennale est l'obligation de garantir, pendant dix ans, la bonne exécution et la bonne solidité de l'ouvrage. Sanction prise par l'assureur à l'encontre de son assuré pour des faits postérieurs au sinistre. Exemples de causes de déchéance: les déclarations mensongères, la condamnation de l'assuré pour conduite en état d'ivresse... Tous les cas de déchéance doivent être prévus dans votre police d'assurance, ils sont inopposables à la victime qui doit être indemnisée de ses dommages. L'assureur se retournera contre son assuré pour exiger le remboursement des sommes versées. Acte par lequel l'assuré déclare à son assureur le sinistres qu'il cause ou qu'il subit. La déclaration doit se faire dans des délais qui varient en fonction de la nature des sinistres (en cas de non respect de ces délais, sauf cas fortuit ou de force majeure, l'assureur est en droit de refuser la prise en charge du sinistre)",https://www.comar.tn/lexique/d
lexique,E,"La date d'effet est la date à partir de laquelle les garanties d'un contrat produisent leur effet. C'est la date à partir de laquelle le contrat débute. La notion d'effraction recouvre le forcement, la dégradation ou la destruction de tout dispositif de fermeture ou de toute espèce de clôture et par extension, l'usage de fausses clés... L'effraction est un des éléments qui entraînent le déclenchement de la garantie vol à la condition que l'assuré puisse en apporter la preuve. (véhicule épave): lorsque le coût des réparations suite à un sinistre automobile garanti dépasse la valeur du véhicule au jour du sinistre, le véhicule est déclaré épave (VEI = Véhicule Economiquement Irréparable) par l'expert qui plafonne son évaluation à la Valeur à dire d'expert .",https://www.comar.tn/lexique/e
lexique,F,"Le FGA n'est pas un organisme d'assurance. Il a pour but de dédommager les victimes d'accidents corporels causés par des véhicules terrestres à moteur lorsque l'auteur responsable est inconnu, non assuré ou insolvable. Il ne dispense pas pour autant les responsables des conséquences de leur responsabilité, car ceux-ci doivent rembourser au FGA les sommes avancées pour leur compte. Part des dommages qui reste à la charge de l'assuré en cas de sinistre. La franchise est contractuellement prévue aux conditions particulières ou générales. Elle s'exprime soit en pourcentage du montant du sinistre, soit en indice (pour les contrats habitation, entreprise...), ou encore en montant fixe. Développé par MEDIANET",https://www.comar.tn/lexique/f
lexique,G,"La notion de personnes transportées à titre gratuit est importante en assurance automobile. En effet, si il s'avère, au moment d'un sinistre, que la personne transportée avait payé pour être transportée, l'indemnité peut être réduite, voir supprimée. En revanche, une nuance est acceptée entre la participation occasionnelle aux frais de route (l'essence par exemple) et le véritable transport payant facturé par un particulier. Développé par MEDIANET © 2018 COMAR Assurances",https://www.comar.tn/lexique/g
lexique,I,"Incendie, Accidents, Risques Divers: cette abréviation est couramment employée sur les documents qui vous sont adressés, elle désigne une branche, une catégorie d'assurance dommage et , généralement, la branche à laquelle appartient votre contrat: en l'occurrence, la protection des biens. La branche VIE est une autre branche regroupant les contrats de placements, de retraite, de prévoyance et de manière plus générale tous les contrats attachés à la protection de la personne. Indemnisation Directe des Assurés: il s'agit d'une convention signée entre la majorité des compagnies d'assurances qui est destinée à accélérer et simplifier les opérations d'indemnisation. La part de responsabilité incombant à chaque assuré est déterminée à partir du constat amiable. Ainsi, sans se concerter les deux assureurs appliquent le même cas de barème. Etat d'une personne qui, par suite de maladie ou d'accident, se trouve dans l'impossibilité provisoire ou permanente (si permanente = invalidité) de travailler et/ou d'effectuer certains gestes élémentaires. En droit commun, la réparation signifie que la victime doit être replacée dans la situation qui était la sienne avant l'accident. En cas d'incapacité temporaire, on distingue l'Incapacité Temporaire Totale de travail (ITT) et l'Incapacité Temporaire Partielle de travail (ITP).",https://www.comar.tn/lexique/i
lexique,J,"La privatisation de jouissance d'un bien, meuble ou immeuble est assuré dans le cadre des polices d'assurance dommages. La garantie correspond à la valeur d'usage du bien pendant un laps de temps, par exemple pendant 1 ou 2 ans. La privatisation de jouissance d'un service constitue un dommage immatériel. Développé par MEDIANET © 2018 COMAR Assurances",https://www.comar.tn/lexique/j
lexique,M,"Les assurances mixtes sont la combinaison d'une garantie en cas de vie et d'une protection en cas de décès. En d'autres termes, ce sont à la fois des contrats de prévoyance et des contrats de capitalisation. Ces contrats sont de plus en plus rares, car, aujourd'hui, les assureurs préfèrent aborder séparément les questions de prévoyance et de capitalisation en faisant deux contrats distincts ayant chacun leur spécificité. Développé par MEDIANET © 2018 COMAR Assurances",https://www.comar.tn/lexique/m
lexique,N,"Document délivré par votre assureur en attendant l'établissement du contrat définitif. La note de couverture vaut garantie, même si le contrat n'est pas encore signé (généralement elle est valable un mois). C'est la sanction qui prive l'assuré des garanties un contrat. Elle est appliquée s’il s'avère que l'assuré a volontairement fait une fausse déclaration sur ses antécédents ou sa situation personnelle. Développé par MEDIANET",https://www.comar.tn/lexique/n
